49	mp_raid	0x5190	0
54	skinnedverts	0x5234	2
42	mp/configstrings/configstrings_mp_raid.csv	0x5250	3
6	mc/mtl_pb_rock_01	0x3d4a80
5	dub_rock_02	0x3caca8
5	dub_rock_02	0x3caca8	194
7	mlv_lit_sm_r0c0n0s0_wqqj839w	0x3d4fd4	195
7	mlv_treecanopy_q2676077	0x3f2e8c	196
8	~~-gtree_birch_trunk_col-rgb&~41c85fe2	0x415240
8	tree_birch_trunk_nml	0x4153b0
8	~-gtree_birch_trunk_col	0x415510
6	mlv/mtl_tree_birch_trunk	0x41518c
8	~-gtree_birch_canopy_col	0x415740
6	mlv/mtl_tree_birch_canopy_sway	0x4156a8
5	mlv/foliage_tree_birch_green_1	0x4051a4
5	mlv/foliage_tree_birch_green_1	0x4051a4	197
7	mlv_lit_sm_r0c0n0x0_619829wj	0x4159cc	198
7	mlv_lit_sm_r0c0x0_81jj142u	0x42d428	199
7	mlv_lit_sm_r0c0d0n0_w65788j0	0x448700	200
7	mlv_unlitdecalblend_multiply_j218z215	0x45b244	201
8	t6_wood_panel_n	0x4ca404
8	~~-gt6_wood_panel_c-rgb&~-rt6~f2d3e628	0x4ca55c
6	mlv/wood_panel	0x4ca36c
8	~~-gcore_metal_dark_c-rgb&~-r~883ab6a8	0x4ca784
6	mlv/core_metal_dark	0x4ca6e8
8	paris_ch_plaster01_nml	0x4ca9b0
8	~~-gparis_ch_plaster01_col-rg~d58d066e	0x4cab10
6	mlv/paris_ch_plaster01	0x4ca910
8	stone_floor_granite_tile01_cream_n	0x4cad48
8	~~-gstone_floor_granite_tile0~98623378	0x4caeb4
6	mlv/stone_floor_granite_tile01_black	0x4cac98
8	t6_test_wood_varnish_red01_nml	0x4cb0e8
8	~~-gt6_test_wood_varnish_red0~ad23ade3	0x4cb250
6	mlv/t6_test_mp_wood_varnish_red	0x4cb040
8	stone_wall_travertine_tile01_blue_n	0x4cb488
8	~~-gstone_wall_travertine_til~90db4cd2	0x4cb5f4
6	mlv/stone_wall_travertine_tile01_matte	0x4cb3d8
8	,global_normal_flat_16x16	0x4cb834
8	~-gcloth_white_linen_c	0x4cb998
8	char_base_fabric_linen_n	0x4cbaf8
6	mlv/cloth_linen_white_clean	0x4cb780
8	~~-gmetal_chrome_01_col-rgb&~~c6071b40	0x4cbd4c
8	ma_brushedmetal_panel_nml	0x4cbebc
8	~-gma_brushedmetal_panel4_col	0x4cc020
6	mlv/ma_brushedmetal_panel4	0x4cbc98
8	plastic_black_n	0x4cc264
8	~~-gblack_0-rgb&~-rplastic_bl~2f57f140	0x4cc3bc
6	mlv/plastic_black_2	0x4cc1c8
8	~~-gglass_green_frosted_s-rgb~725b9799	0x4cc5f8
8	glass_green_frosted_n	0x4cc768
8	~-gglass_green_frosted_c	0x4cc8c8
6	mlv/glass_green_frosted	0x4cc548
8	decal_wall_fillet_c	0x4ccb00
6	mlv/decal_damage_wall_fillet	0x4cca68
5	mlv/p6_raid_bar	0x45bb90
5	mlv/p6_raid_bar	0x45bb90	202
7	mlv_sw4_3d_water_wall_enhanced2_j72zewj2	0x4cce00	203
7	mlv_lit_sm_b0c0s0_41731e52	0x4f1020	204
8	water_falling_drip_pattern	0x5212c4
8	water_falling_drip_n	0x52d428
8	~-gstone_wall_travertine_tile~a6979efb	0x52d588
6	mlv/stone_floor_granite_tile01_biege_dripping	0x5211fc
8	~-gstone_floor_granite_tile01_blue_c	0x52d9a0
6	mlv/stone_floor_granite_tile01_blue_dripping	0x52d8d8
8	~~-gap_glass_sanded_spc-rgb&~~18bf8dd9	0x52dd94
8	~-gap_glass_sanded_col	0x52ff04
6	mlv/ap_glass_sanded	0x52dce8
5	mlv/p6_raid_bar_interior	0x509ab0
